VR,Price,개인_level,외국인_level,금융투자_level,연기금_level,Cap_Type,Signal_Count,Monthly_Signals,Avg_Return_10D,Median_Return_10D,Std_Return_10D,Win_Rate_10D,Sharpe_Ratio,Max_Gain,Max_Loss,Yearly_Return_Std,Yearly_Count,Avg_개인_비중,Avg_외국인_비중,Avg_금융투자_비중,Avg_연기금_비중,Avg_Inst_Ratio,Expectancy
3.0,5,-1,-1,1,3,All,5,1.0,9.277287522393712,6.202290076335878,10.820117703566211,100.0,0.8574109613739233,28.04878048780488,0.5226480836236934,4.855210829697923,2,-16.847379011110387,-5.035705654621939,2.2092978879478102,9.015300088956367,11.224597976904178,9.277287522393712
3.0,5,-1,0,-1,-1,All,20,1.5384615384615385,3.3497238022499096,-0.2665734684784684,25.371878397650505,50.0,0.1320250613592765,68.06930693069307,-54.29864253393665,11.859171981211354,3,-3.2131573007333767,0.757813616648408,-0.3102171871313836,-0.5897914224813198,-0.9000086096127036,3.34972380224991
3.0,5,-1,0,-1,0,All,44,1.9130434782608696,4.08575843690888,3.473998157679449,17.47273881971134,54.54545454545454,0.23383617640410534,46.09581743822388,-35.769828926905134,12.093095482477498,3,-2.0509452117995663,0.754434836468339,-0.17761625114559898,0.22641928419736013,0.04880303305176112,4.085758436908878
3.0,5,-1,0,-1,1,All,5,1.0,0.7166153890074756,-0.1041666666666666,5.275221620586521,40.0,0.13584555124866948,9.572649572649574,-3.956834532374101,2.4646114122737903,2,-7.072348139111061,0.6172071757221338,-0.8482946193204345,2.264543607527089,1.4162489882066542,0.7166153890074758
3.0,5,-1,0,0,-1,All,24,1.6,0.4942135491580544,-2.2887051686195203,16.020094867944685,37.5,0.030849601905101578,49.77973568281938,-18.91025641025641,10.033840716453257,3,-2.209591156080842,0.76389977743169,0.27004404635502877,-0.46330864638131053,-0.19326460002628174,0.49421354915805615
3.0,5,-1,0,0,0,All,69,2.6538461538461537,3.8805315588096487,0.6443298969072164,19.061580189336283,52.17391304347826,0.20357869181173943,51.52542372881356,-25.427350427350422,2.1009556402469403,3,-2.545795390261485,0.7246210097680629,0.2249430001669104,0.2290854540750147,0.45402845424192523,3.880531558809647
3.0,5,-1,1,-1,-1,All,26,1.368421052631579,1.0942498749065932,-2.9290439038573366,15.429750536032902,38.46153846153847,0.07091818317808866,39.75308641975309,-23.41292952824694,6.087010992950412,3,-3.6270738186506373,2.4682604411028817,-0.6859837691705012,-1.1154562061033901,-1.8014399752738914,1.0942498749065948
3.0,5,-1,1,-1,0,All,27,1.4210526315789473,-6.719397659088985,-7.097733184689707,17.22987888117308,14.814814814814813,-0.38998519405909493,56.65236051502146,-39.285714285714285,0.8765865809334011,3,-3.9674954636336253,2.369864351393256,-0.40354255554683444,0.38439859080911354,-0.019143964737720984,-6.719397659088985
3.0,5,-1,1,-1,1,All,6,1.2,-7.418904084109624,-8.037188133754658,5.82429283865516,16.666666666666664,-1.2737862414594288,3.510531594784353,-13.333333333333334,2.9970202785477063,3,-7.120257417030184,2.726267319760988,-1.1912400752122776,2.4146089357113305,1.2233688604990527,-7.4189040841096245
3.0,5,-1,1,0,-1,All,18,1.2,7.396787885342937,7.100852431583874,22.015359740529014,66.66666666666666,0.3359830578523718,72.70992366412213,-22.98994974874372,7.336364576227539,3,-3.9752240819429066,2.567892622566917,0.408903339050982,-0.8046181331753792,-0.3957147941243973,7.396787885342935
3.0,5,-1,1,0,0,All,38,1.8095238095238095,0.9692156809871688,-2.3197945943661376,20.399795398626583,39.473684210526315,0.04751104910848377,92.19105382865808,-23.75,6.620041498958997,3,-3.9623845513157656,2.5080871542705334,0.24329258107729412,0.22640344774011434,0.46969602881740863,0.9692156809871708
3.0,5,-1,1,0,1,All,10,1.25,-2.0284017813903628,-0.8135501074378025,5.242778607662084,40.0,-0.3868944186248768,3.603603603603604,-11.20689655172414,0.8475580553034632,2,-9.388166074702854,2.2909956322975464,0.321479095946377,2.1310638967197213,2.4525429926660975,-2.028401781390362
