Market,Investor,Duration,Direction,Threshold,Signal_Count,Avg_Flow,Median_Flow,Avg_Return_10D,Median_Return_10D,Std_Return_10D,Win_Rate_10D,Max_Gain_10D,Max_Loss_10D,Avg_Return_20D,Median_Return_20D,Std_Return_20D,Win_Rate_20D,Max_Gain_20D,Max_Loss_20D
KOSPI200,외국인,5,SELL,1.5,111992,-18225960323.07268,-4101328150.0,0.7072632371316538,0.0,8.369501737001393,49.775876848346314,141.4174972314507,-46.7,1.3911703215615103,0.10476692240991564,12.123968614827957,50.096318300477094,203.6303630363036,-53.400000000000006
KOSPI200,금융투자,5,BUY,1.5,121246,6144286297.392284,1417500800.0,0.5813288256896522,-0.12618301552728134,8.433176969242698,48.582221269155276,218.3034142907427,-46.7,1.2406071459245784,-0.16176868256003724,12.145786941291764,48.795361391582524,245.97800095648017,-53.400000000000006
KOSPI200,금융투자,5,SELL,1.5,102188,-5210519764.24374,-1182406242.5,0.8815142977915323,0.1520064918540731,8.502600039405461,50.50788742318081,141.4174972314507,-39.15802349583344,1.711590486261305,0.2928257686676483,12.501093484895707,51.016368256219344,204.54545454545453,-46.46925409648072
KOSPI200,연기금,5,BUY,1.5,107082,5607731428.079955,2139360050.0,0.7010180893788657,0.0,8.782058284825474,49.335088997217085,218.3034142907427,-43.692365746090886,1.3375493810408203,-0.1531393568147021,12.765996511902523,48.920680366931,245.97800095648017,-51.14882753403933
KOSPI200,연기금,5,SELL,1.5,114624,-6540542827.02358,-2215830725.0,0.7064272169417997,0.0,8.122585622559065,49.46957007258515,141.4174972314507,-46.7,1.5013126879803091,0.1782531194295833,11.769320680612472,50.496974174934905,164.3561539920349,-53.400000000000006
KOSPI200,개인,10,BUY,1.5,105516,35580526947.27257,7821900950.0,0.8017377232244205,0.13651883493988046,8.298755952754895,50.393305280715715,141.4174972314507,-46.7,1.5873970466542027,0.2700270027002682,12.179682759825791,50.938736591179975,168.013468013468,-53.400000000000006
KOSPI200,개인,10,SELL,1.5,117202,-31460344693.83123,-8692410200.0,0.6285772298803753,-0.12334259575500489,8.598555219313557,48.62630330540434,218.3034142907427,-43.692365746090886,1.3169487021427266,-0.1658374792703143,12.406807987581347,48.7993930144935,245.97800095648017,-51.14882753403933
KOSPI200,외국인,10,BUY,1.5,111439,29262480565.647327,7625350125.0,0.7836172966964506,0.0,8.619075224809334,49.31846122093702,218.3034142907427,-36.40350877192983,1.5027116674555556,0.0,12.462049004139272,49.52405081617142,245.97800095648017,-51.14882753403933
KOSPI200,외국인,10,SELL,1.5,111279,-31063338904.62518,-6999068525.0,0.6375069705302162,0.0,8.29350169550505,49.60864134293083,138.1294964028777,-46.7,1.3879415267800224,0.1077587458182538,12.135704300963555,50.106940240343654,168.013468013468,-53.400000000000006
KOSPI200,금융투자,10,BUY,1.5,123658,9479684836.635696,2210719000.0,0.48645464191213506,-0.18231555715102485,8.368305101096002,48.07452813404713,148.33874594054458,-46.7,1.1675708939371363,-0.19807865470517488,12.052277170818597,48.58858760575365,245.97800095648017,-53.400000000000006
