Period,Investor,Duration,Threshold,Direction,Signal_Count,Avg_Return_10D,Avg_Return_20D,Win_Rate_10D,Win_Rate_20D,Median_Return_20D,Std_Return_20D,Composite_Score
OOS,개인,1,4.5,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,1,5.0,BUY,1007,2.471812752786217,3.9951535228395083,47.368421052631575,47.666335650446875,-1.076923076923075,25.362979865355527,13.169911530701023
OOS,개인,1,5.0,BUY,298,5.597653433989792,8.771069040942612,51.28205128205128,53.355704697986575,1.4998228555682447,30.863457084268234,26.677310333043504
IS,개인,3,-5.0,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-5.0,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-4.5,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-4.5,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-4.0,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-4.0,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-3.5,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-3.5,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-3.0,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-3.0,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-2.5,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-2.5,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-2.0,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-2.0,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-1.5,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-1.5,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
IS,개인,3,-1.0,SELL,2758,1.3500411562299857,2.2727906882876203,46.62799129804206,44.48875997099348,-2.002227171492205,22.3823366144364,8.010853031499872
OOS,개인,3,-1.0,SELL,1057,5.057125506874546,8.942425169190052,53.68888888888888,56.38599810785241,2.6604068857589924,25.678845762401686,35.11509167734763
