Year,Date,Code,Name,Strategy,Priority,VR,Change,Quality_Score,Expected_Return,Expected_WinRate,Return,Win
2025,2025-08-28,001720,신영증권,A-Base-Premium,3,4.0564202125947935,7.878787878787878,10,10.0,52.0,-7.86516853932584,False
2021,2021-03-25,002380,KCC,A-Base-Premium,3,5.827367223503584,8.80195599022005,11,10.0,52.0,42.24719101123596,True
2021,2021-08-24,002380,KCC,Pension-SELL,2,3.707373147785384,6.41025641025641,6,11.23,53.0,37.04819277108433,True
2021,2021-08-25,002380,KCC,Pension-SELL,2,3.1663259979617244,6.764705882352941,7,11.23,53.0,20.24793388429753,True
2021,2021-09-06,002380,KCC,A-Base-Premium,3,3.143878345990758,9.394313967861558,9,10.0,52.0,-14.689265536723164,False
2023,2023-07-13,002380,KCC,Pension-SELL,2,3.659366473891013,8.583247156153051,9,11.23,53.0,1.1904761904761862,True
2024,2024-01-29,002380,KCC,A-Base-Premium,3,3.257240243597518,7.35632183908046,9,10.0,52.0,13.062098501070674,True
2024,2024-02-01,002380,KCC,A-Base-Premium,3,4.849133370452803,9.01639344262295,10,10.0,52.0,4.8872180451127845,True
2024,2024-06-25,002380,KCC,A-Base-Premium,3,3.0660956029528874,8.098591549295776,9,10.0,52.0,2.7687296416938123,True
2025,2025-09-30,002380,KCC,S-Tactical,1,3.4915916951956336,7.112970711297072,8,31.4,60.0,11.197916666666677,True
2021,2021-04-28,002790,아모레퍼시픽홀딩스,A-Base-Premium,3,6.434992078604235,6.911764705882353,10,10.0,52.0,4.951856946354893,True
2022,2022-04-28,002790,아모레퍼시픽홀딩스,A-Base-Premium,3,4.071839261929499,6.6805845511482245,9,10.0,52.0,-12.915851272015654,False
2023,2023-08-02,002790,아모레퍼시픽홀딩스,A-Base-Premium,3,4.406351112342147,6.866197183098592,9,10.0,52.0,10.873146622734753,True
2023,2023-10-31,002790,아모레퍼시픽홀딩스,Pension-SELL,2,3.192671322784144,8.333333333333332,9,11.23,53.0,-1.0489510489510523,False
2024,2024-04-01,002790,아모레퍼시픽홀딩스,A-Base-Premium,3,3.3951492048316463,8.736059479553903,9,10.0,52.0,15.042735042735034,True
2025,2025-01-06,002790,아모레퍼시픽홀딩스,A-Base-Premium,3,3.287349681649743,5.787037037037037,8,10.0,52.0,-3.7199124726477018,False
2025,2025-11-19,002790,아모레퍼시픽홀딩스,A-Base-Premium,3,3.4851093737467664,6.871609403254973,8,10.0,52.0,-7.275803722504226,False
2021,2021-07-15,003230,삼양식품,A-Base-Premium,3,5.309048976346466,6.263982102908278,10,10.0,52.0,-6.842105263157894,False
2021,2021-12-02,003230,삼양식품,Pension-SELL,2,5.47886646497477,7.125307125307126,11,11.23,53.0,8.715596330275233,True
2021,2021-12-10,003230,삼양식품,Pension-SELL,2,4.317833005735211,5.612829324169531,9,11.23,53.0,4.772234273318876,True
2023,2023-08-11,003230,삼양식품,Pension-SELL,2,3.474463139880884,9.493161705551085,9,11.23,53.0,38.72152828802351,True
2023,2023-08-14,003230,삼양식품,Pension-SELL,2,8.114946722933189,9.603469640644361,11,11.23,53.0,7.405313736574337,True
2024,2024-01-02,003230,삼양식품,Pension-SELL,2,4.000685928415091,6.108597285067873,8,11.23,53.0,-21.961620469083154,False
2025,2025-02-06,003230,삼양식품,Pension-SELL,2,4.5468428100840015,8.155080213903744,10,11.23,53.0,11.990111248454882,True
2021,2021-05-06,003380,하림지주,A-Base-Premium,3,3.3772464811075418,5.919003115264798,8,10.0,52.0,4.41176470588236,True
2021,2021-05-07,003380,하림지주,A-Base-Premium,3,5.862945600728892,8.25242718446602,11,10.0,52.0,-4.932735426008971,False
2021,2021-11-22,003380,하림지주,A-Base-Premium,3,11.908680439066908,9.70873786407767,11,10.0,52.0,-17.876106194690266,False
2022,2022-02-16,003380,하림지주,A-Base-Premium,3,3.5807794807888533,5.7894736842105265,8,10.0,52.0,-2.5870646766169125,False
2022,2022-03-22,003380,하림지주,Pension-SELL,2,3.5569531744549066,6.106106106106106,8,11.23,53.0,-0.4716981132075526,False
2023,2023-01-06,003380,하림지주,A-Base-Premium,3,3.88093191961258,6.4304461942257225,8,10.0,52.0,22.56473489519113,True
2023,2023-02-08,003380,하림지주,A-Base-Premium,3,4.759835483085424,7.414829659318638,10,10.0,52.0,17.537313432835823,True
2023,2023-12-20,003380,하림지주,S-Tactical,1,11.803603011764844,13.989637305699482,12,31.4,60.0,-17.386363636363633,False
2025,2025-03-20,003380,하림지주,A-Base-Premium,3,4.271788545237702,7.289719626168225,10,10.0,52.0,-0.5226480836236891,False
2025,2025-05-12,003380,하림지주,A-Base-Premium,3,3.0061884922335507,5.220228384991843,8,10.0,52.0,42.015503875969,True
2021,2021-05-10,003490,대한항공,A-Base-Premium,3,3.581152938477836,5.683836589698046,8,10.0,52.0,9.915966386554633,True
2024,2024-06-27,003490,대한항공,A-Base-Premium,3,5.075715953371109,6.306306306306306,10,10.0,52.0,-10.593220338983055,False
2021,2021-04-19,003690,코리안리,Pension-SELL,2,4.210535687417591,5.537644604589418,9,11.23,53.0,7.672955974842766,True
2022,2022-06-14,003690,코리안리,A-Base-Premium,3,4.57881981151173,5.629550701473984,9,10.0,52.0,-12.054472091459312,False
2023,2023-08-14,003690,코리안리,A-Base-Premium,3,4.610146311440651,6.330097087378641,9,10.0,52.0,7.523739956172393,True
2021,2021-05-11,007390,네이처셀,A-Base-Premium,3,6.097952864066418,12.612612612612612,12,10.0,52.0,13.199999999999989,True
2021,2021-06-18,007390,네이처셀,A-Base-Premium,3,5.534441393881473,18.784530386740332,12,10.0,52.0,43.72093023255814,True
2021,2021-06-22,007390,네이처셀,S-Tactical,1,4.7338886623370025,21.951219512195124,11,31.4,60.0,14.54545454545455,True
2021,2021-07-21,007390,네이처셀,A-Base-Premium,3,3.0571905972807865,19.040247678018577,9,10.0,52.0,-27.82834850455137,False
2022,2022-02-03,007390,네이처셀,A-Base-Premium,3,4.000638938637953,23.762376237623762,11,10.0,52.0,-13.33333333333333,False
2022,2022-03-29,007390,네이처셀,A-Base-Premium,3,3.7732508283571766,10.119047619047619,10,10.0,52.0,-12.16216216216216,False
2022,2022-06-08,007390,네이처셀,A-Base-Premium,3,4.996694818710512,8.857142857142856,10,10.0,52.0,-6.5616797900262425,False
2022,2022-07-14,007390,네이처셀,A-Base-Premium,3,3.78257505356182,11.197916666666668,10,10.0,52.0,7.025761124121788,True
2022,2022-08-30,007390,네이처셀,Pension-SELL,2,5.386966742284264,8.565737051792828,10,11.23,53.0,-37.43119266055046,False
