VR,Price,Z_Score,ATR_Mult,Period,Years,Signals,Signals_Per_Week,Avg_Return,Median_Return,Win_Rate,Std,Sharpe
5.0,7.0,None,2.0,OOS,1,345,6.6,11.48,3.89,55.4,29.27,0.392
5.0,7.0,1.5,None,IS,4,1046,5.0,2.34,-2.51,44.1,24.2,0.097
5.0,7.0,1.5,None,OOS,1,339,6.5,10.68,3.85,55.2,28.53,0.375
5.0,7.0,1.5,1.3,IS,4,1043,5.0,2.37,-2.45,44.1,24.23,0.098
5.0,7.0,1.5,1.3,OOS,1,338,6.5,10.68,3.85,55.3,28.53,0.375
5.0,7.0,1.5,1.5,IS,4,1042,5.0,2.39,-2.45,44.1,24.23,0.099
5.0,7.0,1.5,1.5,OOS,1,338,6.5,10.68,3.85,55.3,28.53,0.375
5.0,7.0,1.5,2.0,IS,4,1037,5.0,2.41,-2.45,44.3,24.25,0.1
5.0,7.0,1.5,2.0,OOS,1,333,6.4,10.78,3.76,55.3,28.64,0.376
5.0,7.0,2.0,None,IS,4,1028,4.9,2.5,-2.39,44.3,24.3,0.103
5.0,7.0,2.0,None,OOS,1,334,6.4,10.79,3.89,55.1,28.74,0.375
5.0,7.0,2.0,1.3,IS,4,1025,4.9,2.53,-2.37,44.3,24.33,0.104
5.0,7.0,2.0,1.3,OOS,1,333,6.4,10.79,3.89,55.3,28.74,0.375
5.0,7.0,2.0,1.5,IS,4,1024,4.9,2.55,-2.33,44.3,24.33,0.105
5.0,7.0,2.0,1.5,OOS,1,333,6.4,10.79,3.89,55.3,28.74,0.375
5.0,7.0,2.0,2.0,IS,4,1019,4.9,2.57,-2.37,44.5,24.35,0.106
5.0,7.0,2.0,2.0,OOS,1,328,6.3,10.88,3.8,55.2,28.85,0.377
5.0,7.0,2.5,None,IS,4,1010,4.9,2.47,-2.39,44.4,24.23,0.102
5.0,7.0,2.5,None,OOS,1,322,6.2,10.49,3.64,54.3,28.98,0.362
5.0,7.0,2.5,1.3,IS,4,1007,4.8,2.5,-2.37,44.4,24.26,0.103
5.0,7.0,2.5,1.3,OOS,1,321,6.2,10.49,3.64,54.5,28.98,0.362
5.0,7.0,2.5,1.5,IS,4,1006,4.8,2.52,-2.33,44.4,24.26,0.104
5.0,7.0,2.5,1.5,OOS,1,321,6.2,10.49,3.64,54.5,28.98,0.362
5.0,7.0,2.5,2.0,IS,4,1002,4.8,2.54,-2.33,44.5,24.27,0.105
5.0,7.0,2.5,2.0,OOS,1,316,6.1,10.58,3.57,54.4,29.11,0.363
5.0,7.0,3.0,None,IS,4,992,4.8,2.5,-2.39,44.4,24.35,0.103
5.0,7.0,3.0,None,OOS,1,314,6.0,10.3,3.55,54.1,29.05,0.354
5.0,7.0,3.0,1.3,IS,4,989,4.8,2.53,-2.37,44.4,24.38,0.104
5.0,7.0,3.0,1.3,OOS,1,313,6.0,10.3,3.55,54.3,29.05,0.354
5.0,7.0,3.0,1.5,IS,4,988,4.8,2.55,-2.33,44.4,24.39,0.104
5.0,7.0,3.0,1.5,OOS,1,313,6.0,10.3,3.55,54.3,29.05,0.354
5.0,7.0,3.0,2.0,IS,4,984,4.7,2.57,-2.33,44.5,24.39,0.105
5.0,7.0,3.0,2.0,OOS,1,308,5.9,10.39,3.45,54.2,29.18,0.356
5.0,10.0,None,None,IS,4,753,3.6,3.04,-2.27,44.8,26.37,0.115
5.0,10.0,None,None,OOS,1,249,4.8,10.55,3.69,52.6,29.41,0.359
5.0,10.0,None,1.3,IS,4,751,3.6,3.08,-2.18,44.9,26.39,0.117
5.0,10.0,None,1.3,OOS,1,249,4.8,10.55,3.69,52.6,29.41,0.359
5.0,10.0,None,1.5,IS,4,750,3.6,3.11,-2.17,44.9,26.4,0.118
5.0,10.0,None,1.5,OOS,1,249,4.8,10.55,3.69,52.6,29.41,0.359
5.0,10.0,None,2.0,IS,4,746,3.6,3.14,-2.17,45.0,26.42,0.119
5.0,10.0,None,2.0,OOS,1,248,4.8,10.54,3.64,52.4,29.48,0.358
5.0,10.0,1.5,None,IS,4,713,3.4,2.83,-2.58,44.6,26.33,0.107
5.0,10.0,1.5,None,OOS,1,242,4.7,10.38,3.8,52.9,29.29,0.354
5.0,10.0,1.5,1.3,IS,4,711,3.4,2.87,-2.56,44.7,26.36,0.109
5.0,10.0,1.5,1.3,OOS,1,242,4.7,10.38,3.8,52.9,29.29,0.354
5.0,10.0,1.5,1.5,IS,4,710,3.4,2.9,-2.51,44.8,26.37,0.11
5.0,10.0,1.5,1.5,OOS,1,242,4.7,10.38,3.8,52.9,29.29,0.354
5.0,10.0,1.5,2.0,IS,4,706,3.4,2.93,-2.51,44.9,26.39,0.111
5.0,10.0,1.5,2.0,OOS,1,241,4.6,10.37,3.69,52.7,29.36,0.353
5.0,10.0,2.0,None,IS,4,701,3.4,2.98,-2.45,44.8,26.45,0.113
5.0,10.0,2.0,None,OOS,1,241,4.6,10.4,3.69,52.7,29.36,0.354
5.0,10.0,2.0,1.3,IS,4,699,3.4,3.02,-2.28,44.9,26.48,0.114
5.0,10.0,2.0,1.3,OOS,1,241,4.6,10.4,3.69,52.7,29.36,0.354
5.0,10.0,2.0,1.5,IS,4,698,3.4,3.05,-2.27,45.0,26.48,0.115
5.0,10.0,2.0,1.5,OOS,1,241,4.6,10.4,3.69,52.7,29.36,0.354
5.0,10.0,2.0,2.0,IS,4,694,3.3,3.09,-2.27,45.1,26.5,0.116
5.0,10.0,2.0,2.0,OOS,1,240,4.6,10.39,3.64,52.5,29.42,0.353
5.0,10.0,2.5,None,IS,4,686,3.3,3.13,-2.27,45.2,26.61,0.118
5.0,10.0,2.5,None,OOS,1,234,4.5,10.26,3.57,52.1,29.66,0.346
5.0,10.0,2.5,1.3,IS,4,684,3.3,3.17,-2.22,45.3,26.64,0.119
5.0,10.0,2.5,1.3,OOS,1,234,4.5,10.26,3.57,52.1,29.66,0.346
5.0,10.0,2.5,1.5,IS,4,683,3.3,3.21,-2.18,45.4,26.65,0.12
5.0,10.0,2.5,1.5,OOS,1,234,4.5,10.26,3.57,52.1,29.66,0.346
5.0,10.0,2.5,2.0,IS,4,680,3.3,3.23,-2.17,45.4,26.65,0.121
5.0,10.0,2.5,2.0,OOS,1,233,4.5,10.25,3.55,51.9,29.73,0.345
5.0,10.0,3.0,None,IS,4,677,3.3,3.26,-2.15,45.5,26.74,0.122
5.0,10.0,3.0,None,OOS,1,229,4.4,10.39,3.57,52.4,29.9,0.348
5.0,10.0,3.0,1.3,IS,4,675,3.2,3.31,-2.13,45.6,26.76,0.124
5.0,10.0,3.0,1.3,OOS,1,229,4.4,10.39,3.57,52.4,29.9,0.348
5.0,10.0,3.0,1.5,IS,4,674,3.2,3.34,-2.06,45.7,26.77,0.125
5.0,10.0,3.0,1.5,OOS,1,229,4.4,10.39,3.57,52.4,29.9,0.348
5.0,10.0,3.0,2.0,IS,4,671,3.2,3.37,-2.0,45.8,26.77,0.126
5.0,10.0,3.0,2.0,OOS,1,228,4.4,10.39,3.55,52.2,29.97,0.347
