매수일자,종목코드,종목명,시장,수급필터,진입가(종가),당일수익률(%),VR,10일후수익률(%),20일후수익률(%)
2025-02-27,028300,HLB,KOSDAQ,금융투자 10D SELL,92500,8.19,4.3,-22.16,-38.16
2025-02-27,214150,클래시스,KOSDAQ,개인 30D BUY,69100,19.14,7.56,-11.29,-15.63
2025-02-27,214150,클래시스,KOSDAQ,연기금 30D SELL,69100,19.14,7.56,-11.29,-15.63
2025-02-27,214150,클래시스,KOSDAQ,금융투자 10D SELL,69100,19.14,7.56,-11.29,-15.63
2025-02-27,039200,오스코텍,KOSDAQ,금융투자 10D SELL,29700,13.14,3.38,6.73,-2.02
2025-03-04,085660,차바이오텍,KOSDAQ,금융투자 10D SELL,11447,6.08,3.8,-4.11,-10.49
2025-03-05,189300,인텔리안테크,KOSDAQ,개인 30D BUY,38950,10.18,5.85,4.88,-9.11
2025-03-07,009520,포스코엠텍,KOSDAQ,개인 30D BUY,14710,10.6,3.68,-0.82,-16.38
2025-03-11,466100,클로봇,KOSDAQ,연기금 30D SELL,22000,19.7,3.46,-19.5,-22.95
2025-03-11,466100,클로봇,KOSDAQ,개인 30D BUY,22000,19.7,3.46,-19.5,-22.95
2025-03-11,466100,클로봇,KOSDAQ,금융투자 10D SELL,22000,19.7,3.46,-19.5,-22.95
2025-03-12,160190,하이젠알앤엠,KOSDAQ,개인 30D BUY,35400,9.6,4.44,-11.16,-27.4
2025-03-12,160190,하이젠알앤엠,KOSDAQ,금융투자 10D SELL,35400,9.6,4.44,-11.16,-27.4
2025-03-12,160190,하이젠알앤엠,KOSDAQ,연기금 30D SELL,35400,9.6,4.44,-11.16,-27.4
2025-03-13,183300,코미코,KOSDAQ,개인 30D BUY,49250,7.65,4.28,22.03,7.61
2025-03-13,183300,코미코,KOSDAQ,금융투자 10D SELL,49250,7.65,4.28,22.03,7.61
2025-03-14,101490,에스앤에스텍,KOSDAQ,금융투자 10D SELL,33600,7.01,3.35,-2.08,-11.76
2025-03-14,160190,하이젠알앤엠,KOSDAQ,금융투자 10D SELL,37500,9.33,3.65,-22.67,-18.4
2025-03-14,183300,코미코,KOSDAQ,금융투자 10D SELL,55500,8.82,3.63,2.88,-4.68
2025-03-14,348210,넥스틴,KOSDAQ,연기금 30D SELL,57200,12.16,3.58,4.72,-3.5
2025-03-14,160190,하이젠알앤엠,KOSDAQ,연기금 30D SELL,37500,9.33,3.65,-22.67,-18.4
2025-03-14,417200,LS머트리얼즈,KOSDAQ,금융투자 10D SELL,11920,8.76,4.77,-6.71,-14.01
2025-03-14,160190,하이젠알앤엠,KOSDAQ,개인 30D BUY,37500,9.33,3.65,-22.67,-18.4
2025-03-14,183300,코미코,KOSDAQ,개인 30D BUY,55500,8.82,3.63,2.88,-4.68
2025-03-14,348210,넥스틴,KOSDAQ,금융투자 10D SELL,57200,12.16,3.58,4.72,-3.5
2025-03-17,232140,와이씨,KOSDAQ,금융투자 10D SELL,11460,8.11,4.78,-5.41,-8.12
2025-03-17,232140,와이씨,KOSDAQ,연기금 30D SELL,11460,8.11,4.78,-5.41,-8.12
2025-03-17,232140,와이씨,KOSDAQ,개인 30D BUY,11460,8.11,4.78,-5.41,-8.12
2025-03-17,196170,알테오젠,KOSDAQ,개인 30D BUY,439500,10.29,3.18,-19.0,-11.95
2025-03-17,196170,알테오젠,KOSDAQ,금융투자 10D SELL,439500,10.29,3.18,-19.0,-11.95
2025-03-19,232140,와이씨,KOSDAQ,금융투자 10D SELL,12950,10.78,7.83,-15.68,-22.63
2025-03-20,257720,실리콘투,KOSDAQ,개인 30D BUY,28650,7.1,3.11,-6.46,19.72
2025-03-20,251970,펌텍코리아,KOSDAQ,연기금 30D SELL,48150,5.13,3.58,12.56,17.34
2025-03-20,257720,실리콘투,KOSDAQ,연기금 30D SELL,28650,7.1,3.11,-6.46,19.72
2025-03-20,003380,하림지주,KOSDAQ,개인 30D BUY,5740,7.29,4.27,-5.57,-0.52
2025-03-20,251970,펌텍코리아,KOSDAQ,금융투자 10D SELL,48150,5.13,3.58,12.56,17.34
2025-03-20,003380,하림지주,KOSDAQ,연기금 30D SELL,5740,7.29,4.27,-5.57,-0.52
2025-03-20,257720,실리콘투,KOSDAQ,금융투자 10D SELL,28650,7.1,3.11,-6.46,19.72
2025-03-25,476060,온코닉테라퓨틱스,KOSDAQ,금융투자 10D SELL,4795,16.47,8.94,8.97,36.6
2025-03-25,140410,메지온,KOSDAQ,개인 30D BUY,32450,12.87,3.27,9.71,20.34
2025-03-25,140410,메지온,KOSDAQ,연기금 30D SELL,32450,12.87,3.27,9.71,20.34
2025-03-25,389470,인벤티지랩,KOSDAQ,금융투자 10D SELL,15380,5.34,3.22,-13.91,58.0
2025-03-25,140410,메지온,KOSDAQ,금융투자 10D SELL,32450,12.87,3.27,9.71,20.34
2025-03-25,476060,온코닉테라퓨틱스,KOSDAQ,개인 30D BUY,4795,16.47,8.94,8.97,36.6
2025-03-26,052400,코나아이,KOSDAQ,연기금 30D SELL,30700,28.99,5.13,50.81,8.63
2025-03-26,052400,코나아이,KOSDAQ,개인 30D BUY,30700,28.99,5.13,50.81,8.63
2025-03-28,476060,온코닉테라퓨틱스,KOSDAQ,개인 30D BUY,4995,12.45,4.53,20.86,22.12
2025-03-28,476060,온코닉테라퓨틱스,KOSDAQ,금융투자 10D SELL,4995,12.45,4.53,20.86,22.12
2025-04-01,087010,펩트론,KOSDAQ,연기금 30D SELL,106500,15.64,3.79,50.99,64.6
2025-04-02,445680,큐리옥스바이오시스템즈,KOSDAQ,개인 30D BUY,17940,8.07,4.09,27.65,34.89
2025-04-02,445680,큐리옥스바이오시스템즈,KOSDAQ,금융투자 10D SELL,17940,8.07,4.09,27.65,34.89
2025-04-03,052400,코나아이,KOSDAQ,연기금 30D SELL,31750,9.11,4.86,3.62,13.86
2025-04-03,388720,유일로보틱스,KOSDAQ,연기금 30D SELL,92600,20.26,5.16,-16.09,-24.3
2025-04-03,052400,코나아이,KOSDAQ,개인 30D BUY,31750,9.11,4.86,3.62,13.86
2025-04-04,041510,에스엠,KOSDAQ,연기금 30D SELL,115900,5.56,3.67,0.35,8.28
2025-04-04,025980,아난티,KOSDAQ,연기금 30D SELL,6180,5.64,3.36,10.52,16.34
2025-04-04,086520,에코프로,KOSDAQ,개인 30D BUY,52100,10.85,3.33,-7.87,-7.1
2025-04-07,052400,코나아이,KOSDAQ,개인 30D BUY,44850,8.07,3.27,-20.18,8.25
