Code,Name,Market,Marcap
007070,GS리테일,KOSPI,1739034232000
005070,코스모신소재,KOSPI,1723070068000
073240,금호타이어,KOSPI,1714943913390
375500,DL이앤씨,KOSPI,1706388774300
112610,씨에스윈드,KOSPI,1688964690150
395400,SK리츠,KOSPI,1685736389700
003570,SNT다이내믹스,KOSPI,1682586468200
298020,효성티앤씨,KOSPI,1676976775000
085620,미래에셋생명,KOSPI,1646250557700
161890,한국콜마,KOSPI,1626389805300
007810,코리아써키트,KOSPI,1613297293300
006360,GS건설,KOSPI,1596950603400
034230,파라다이스,KOSPI,1577362892130
020560,아시아나항공,KOSPI,1575828939150
007310,오뚜기,KOSPI,1543014550000
003540,대신증권,KOSPI,1490199290000
007340,DN오토모티브,KOSPI,1465697168250
247540,에코프로비엠,KOSDAQ,24156931968000
086520,에코프로,KOSDAQ,23502851911200
196170,알테오젠,KOSDAQ,23060994628000
277810,레인보우로보틱스,KOSDAQ,14899090944000
298380,에이비엘바이오,KOSDAQ,13808853832500
000250,삼천당제약,KOSDAQ,10720064704000
028300,HLB,KOSDAQ,8728979441600
950160,코오롱티슈진,KOSDAQ,8555146042000
141080,리가켐바이오,KOSDAQ,7706476149000
087010,펩트론,KOSDAQ,7601456100000
058470,리노공업,KOSDAQ,7110565605000
214370,케어젠,KOSDAQ,6306141000000
214450,파마리서치,KOSDAQ,5579240976000
240810,원익IPS,KOSDAQ,5399229110000
140410,메지온,KOSDAQ,5082919203600
108490,로보티즈,KOSDAQ,4895549568000
214150,클래시스,KOSDAQ,4886722161400
039030,이오테크닉스,KOSDAQ,4354960925000
347850,디앤디파마텍,KOSDAQ,4340482371000
310210,보로노이,KOSDAQ,4138542225000
0009K0,에임드바이오,KOSDAQ,3783262918500
403870,HPSP,KOSDAQ,3712761104000
263750,펄어비스,KOSDAQ,3572180738000
145020,휴젤,KOSDAQ,3555865537000
319400,현대무벡스,KOSDAQ,3552895644100
058610,에스피지,KOSDAQ,3552813072000
030530,원익홀딩스,KOSDAQ,3375299769700
357780,솔브레인,KOSDAQ,3360340512000
257720,실리콘투,KOSDAQ,3321634604400
237690,에스티팜,KOSDAQ,3208761020000
068760,셀트리온제약,KOSDAQ,3197516544000
226950,올릭스,KOSDAQ,2984064707400
095340,ISC,KOSDAQ,2956989591000
041510,에스엠,KOSDAQ,2683257668000
160190,하이젠알앤엠,KOSDAQ,2628568800000
005290,동진쎄미켐,KOSDAQ,2622139194000
064760,티씨케이,KOSDAQ,2615983344000
035900,JYP Ent.,KOSDAQ,2593871916000
067310,하나마이크론,KOSDAQ,2479597439850
084370,유진테크,KOSDAQ,2461182910800
475830,오름테라퓨틱,KOSDAQ,2414120241600
083650,비에이치아이,KOSDAQ,2376528000000
098460,고영,KOSDAQ,2245010488500
476830,알지노믹스,KOSDAQ,2244741946200
323280,태성,KOSDAQ,2196052560000
140860,파크시스템스,KOSDAQ,2186399062500
437730,삼현,KOSDAQ,2181480609600
222800,심텍,KOSDAQ,2143443313200
039200,오스코텍,KOSDAQ,2119502950400
178320,서진시스템,KOSDAQ,2098041626450
445680,큐리옥스바이오시스템즈,KOSDAQ,2080059709500
065350,신성델타테크,KOSDAQ,2064044494800
491000,리브스메드,KOSDAQ,2036239507500
458870,씨어스테크놀로지,KOSDAQ,2021474448000
101490,에스앤에스텍,KOSDAQ,1935073525300
290650,엘앤씨바이오,KOSDAQ,1905386232100
348370,엔켐,KOSDAQ,1876926682400
466100,클로봇,KOSDAQ,1854416713800
036930,주성엔지니어링,KOSDAQ,1841101102950
099320,쎄트렉아이,KOSDAQ,1838719576200
085660,차바이오텍,KOSDAQ,1831811874550
090710,휴림로봇,KOSDAQ,1819333110310
089030,테크윙,KOSDAQ,1800807147000
082270,젬백스,KOSDAQ,1743493890650
388720,유일로보틱스,KOSDAQ,1717089506000
281740,레이크머티리얼즈,KOSDAQ,1695848138400
031980,피에스케이홀딩스,KOSDAQ,1662460654500
060370,LS마린솔루션,KOSDAQ,1642911958300
007390,네이처셀,KOSDAQ,1620541658400
195940,HK이노엔,KOSDAQ,1606304819700
035760,CJ ENM,KOSDAQ,1598635326600
293490,카카오게임즈,KOSDAQ,1587432586480
319660,피에스케이,KOSDAQ,1567099227400
232140,와이씨,KOSDAQ,1545734394000
095610,테스,KOSDAQ,1492501063000
253450,스튜디오드래곤,KOSDAQ,1474369326900
204270,제이앤티씨,KOSDAQ,1472243459700
032820,우리기술,KOSDAQ,1460789480400
096530,씨젠,KOSDAQ,1449271333500
328130,루닛,KOSDAQ,1429192042100
456160,지투지바이오,KOSDAQ,1390821432000
003380,하림지주,KOSDAQ,1386629587980
122870,와이지엔터테인먼트,KOSDAQ,1370053891700
397030,에이프릴바이오,KOSDAQ,1353045405800
115180,큐리언트,KOSDAQ,1311013311750
131970,두산테스나,KOSDAQ,1308454012600
166090,하나머티리얼즈,KOSDAQ,1283571042600
183300,코미코,KOSDAQ,1283525926800
218410,RFHIC,KOSDAQ,1269514871800
080220,제주반도체,KOSDAQ,1264051971100
388210,씨엠티엑스,KOSDAQ,1263867374400
056080,유진로봇,KOSDAQ,1258532699600
137400,피엔티,KOSDAQ,1255608584000
174900,앱클론,KOSDAQ,1252237982600
161580,필옵틱스,KOSDAQ,1242685865700
078600,대주전자재료,KOSDAQ,1218322669100
043260,성호전자,KOSDAQ,1209234132150
347700,스피어,KOSDAQ,1197589513400
124500,아이티센글로벌,KOSDAQ,1185751329700
056190,에스에프에이,KOSDAQ,1165239262000
348340,뉴로메카,KOSDAQ,1148559324600
036540,SFA반도체,KOSDAQ,1141354502820
112040,위메이드,KOSDAQ,1130484483900
036830,솔브레인홀딩스,KOSDAQ,1129962618400
417200,LS머트리얼즈,KOSDAQ,1082442544000
036810,에프에스티,KOSDAQ,1061589425800
440110,파두,KOSDAQ,1051732476250
295310,에이치브이엠,KOSDAQ,1047369928000
358570,지아이이노베이션,KOSDAQ,1045600862670
389470,인벤티지랩,KOSDAQ,1038248467500
376900,로킷헬스케어,KOSDAQ,1033658274000
490470,세미파이브,KOSDAQ,1012999503300
032190,다우데이타,KOSDAQ,1007290000000
086900,메디톡스,KOSDAQ,1005732886600
006730,서부T&D,KOSDAQ,995978998820
189300,인텔리안테크,KOSDAQ,993906728400
348210,넥스틴,KOSDAQ,987981571500
241710,코스메카코리아,KOSDAQ,984696000000
213420,덕산네오룩스,KOSDAQ,980831570500
042000,카페24,KOSDAQ,968909507300
078160,메디포스트,KOSDAQ,962473003650
486990,노타,KOSDAQ,949985536500
082920,비츠로셀,KOSDAQ,947595069300
222080,씨아이에스,KOSDAQ,943936435800
048410,현대바이오,KOSDAQ,942161817600
383310,에코프로에이치엔,KOSDAQ,930238234200
376300,디어유,KOSDAQ,898498667100
131290,티에스이,KOSDAQ,892657320300
060250,NHN KCP,KOSDAQ,890561548925
214430,아이쓰리시스템,KOSDAQ,888557344000
468530,프로티나,KOSDAQ,885003932000
090360,로보스타,KOSDAQ,883350000000
225570,넥슨게임즈,KOSDAQ,880550526380
052400,코나아이,KOSDAQ,879622776400
365340,성일하이텍,KOSDAQ,876669705900
121600,나노신소재,KOSDAQ,875542394700
399720,가온칩스,KOSDAQ,864231290000
067160,SOOP,KOSDAQ,862107525000
014620,성광벤드,KOSDAQ,855147120800
476060,온코닉테라퓨틱스,KOSDAQ,852420081600
336570,원텍,KOSDAQ,844807942830
033500,동성화인텍,KOSDAQ,844204256100
009520,포스코엠텍,KOSDAQ,843264735750
086450,동국제약,KOSDAQ,842190420400
424870,이뮨온시아,KOSDAQ,830648772800
251970,펌텍코리아,KOSDAQ,808480000000
100790,미래에셋벤처투자,KOSDAQ,801119480720
060280,큐렉소,KOSDAQ,795502206400
102710,이엔에프테크놀로지,KOSDAQ,790117330800
211050,인카금융서비스,KOSDAQ,788711148570
