Strategy,Signals,Avg_Return_20D,Win_Rate_20D,Median_20D,Std_20D,Period,Track,Duration,N_Investors,Description
Retail_SELL & FinInvest_BUY,642,8.278904318423683,55.60747663551402,2.793918918918925,23.572265803596597,OOS,A,1,2.0,
Retail_SELL & FinInvest_SELL,429,8.984319621063714,57.10955710955711,2.659574468085113,26.362565402321845,OOS,A,1,2.0,
Retail_BUY & Pension_BUY,151,4.953932588477989,50.993377483443716,0.2392344497607723,24.109706296701198,OOS,A,1,2.0,
Retail_BUY & Pension_SELL,147,12.692073151977699,55.78231292517006,3.891402714932135,36.193579337682955,OOS,A,1,2.0,
Retail_SELL & Pension_BUY,715,7.343595465965619,55.66433566433566,2.319574702843674,23.484327573807406,OOS,A,1,2.0,
Retail_SELL & Pension_SELL,356,11.007468909266626,57.30337078651685,3.6237073815434617,26.894843483495457,OOS,A,1,2.0,
Foreign_BUY & FinInvest_BUY,585,7.794333867566414,54.52991452991453,2.4868123587038493,23.336816006655834,OOS,A,1,2.0,
Foreign_BUY & FinInvest_SELL,435,8.98849054329154,56.7816091954023,2.659574468085113,26.486579547537897,OOS,A,1,2.0,
Foreign_SELL & FinInvest_BUY,173,11.571067901595304,58.95953757225434,4.316546762589923,28.922255602113523,OOS,A,1,2.0,
Foreign_SELL & FinInvest_SELL,176,7.4524705581311,52.84090909090909,1.0734407105455035,30.99057104097715,OOS,A,1,2.0,
Foreign_BUY & Pension_BUY,653,7.09117930607302,54.97702909647779,2.229654403567438,23.425552991857476,OOS,A,1,2.0,
Foreign_BUY & Pension_SELL,367,10.460868152568096,56.403269754768395,3.112840466926059,26.776602311374948,OOS,A,1,2.0,
Foreign_SELL & Pension_BUY,213,6.423354423285974,54.460093896713616,1.2027491408934663,24.16760190741326,OOS,A,1,2.0,
Foreign_SELL & Pension_SELL,136,14.303346125346687,58.08823529411765,4.655395314760835,36.96370564099496,OOS,A,1,2.0,
FinInvest_BUY & Pension_BUY,500,6.943024768452913,54.2,1.6407191216637362,22.78258873228921,OOS,A,1,2.0,
FinInvest_BUY & Pension_SELL,258,11.976618896418154,58.139534883720934,4.416090566326991,27.9323990189379,OOS,A,1,2.0,
FinInvest_SELL & Pension_BUY,366,6.904924029505839,55.73770491803278,1.8683353610534637,24.699837913992784,OOS,A,1,2.0,
FinInvest_SELL & Pension_SELL,245,10.99765718270921,55.51020408163265,3.082191780821919,31.861509395699162,OOS,A,1,2.0,
Retail_BUY & Foreign_BUY & FinInvest_SELL,22,3.7885011315945807,50.0,0.16954620402896414,23.719567348789536,OOS,A,1,3.0,
Retail_BUY & Foreign_SELL & FinInvest_BUY,115,10.904864959460307,55.65217391304348,2.029220779220786,30.596597042744325,OOS,A,1,3.0,
Retail_BUY & Foreign_SELL & FinInvest_SELL,160,8.025050388946752,52.5,1.0734407105455035,32.01257086808216,OOS,A,1,3.0,
Retail_SELL & Foreign_BUY & FinInvest_BUY,584,7.820755643475943,54.62328767123288,2.556055344029729,23.34806270544204,OOS,A,1,3.0,
Retail_SELL & Foreign_BUY & FinInvest_SELL,413,9.265487557958206,57.14285714285714,2.9515285599356345,26.623331780033492,OOS,A,1,3.0,
Retail_SELL & Foreign_SELL & FinInvest_BUY,58,12.891987528242284,65.51724137931035,8.10779763226236,25.4792388226515,OOS,A,1,3.0,
Retail_SELL & Foreign_SELL & FinInvest_SELL,16,1.7266722499746017,56.25,1.051753126419008,17.41982240034735,OOS,A,1,3.0,
Retail_BUY & Foreign_BUY & Pension_SELL,17,3.2779192525629113,41.17647058823529,-0.1883239171374784,25.054715173171438,OOS,A,1,3.0,
Retail_BUY & Foreign_SELL & Pension_BUY,145,5.021085562222507,50.3448275862069,0.1843872885661124,24.335508997421538,OOS,A,1,3.0,
Retail_BUY & Foreign_SELL & Pension_SELL,130,13.923154815747324,57.692307692307686,4.388242528899855,37.30337463704933,OOS,A,1,3.0,
Retail_SELL & Foreign_BUY & Pension_BUY,647,7.12604895290227,54.86862442040186,2.201834862385321,23.468827072212324,OOS,A,1,3.0,
Retail_SELL & Foreign_BUY & Pension_SELL,350,10.809754241996918,57.14285714285714,3.553703967462696,26.84207771439651,OOS,A,1,3.0,
Retail_SELL & Foreign_SELL & Pension_BUY,68,9.413486553494838,63.23529411764706,4.689376399458734,23.705633187927873,OOS,A,1,3.0,
Retail_BUY & FinInvest_BUY & Pension_SELL,55,11.85543889429914,58.18181818181818,4.901117798796206,30.049762629239577,OOS,A,1,3.0,
Retail_BUY & FinInvest_SELL & Pension_BUY,90,1.7074385885810215,50.0,0.026143446132459447,17.311360338627498,OOS,A,1,3.0,
Retail_BUY & FinInvest_SELL & Pension_SELL,92,13.192234936459444,54.347826086956516,3.2656789254655982,39.56265025940407,OOS,A,1,3.0,
Retail_SELL & FinInvest_BUY & Pension_BUY,439,6.553845185281486,54.441913439635535,2.1594684385382035,21.38403705760877,OOS,A,1,3.0,
Retail_SELL & FinInvest_BUY & Pension_SELL,203,12.009450916696704,58.128078817733986,4.329371816638372,27.409063871610435,OOS,A,1,3.0,
Retail_SELL & FinInvest_SELL & Pension_BUY,276,8.599756238503062,57.608695652173914,2.586930091185413,26.477027989379195,OOS,A,1,3.0,
Retail_SELL & FinInvest_SELL & Pension_SELL,153,9.678041801369204,56.209150326797385,2.8288543140028377,26.227119227918667,OOS,A,1,3.0,
Foreign_BUY & FinInvest_BUY & Pension_SELL,198,11.5910990193224,57.57575757575758,4.03416121895429,27.30927562997718,OOS,A,1,3.0,
Foreign_BUY & FinInvest_SELL & Pension_BUY,266,8.894332256260016,57.89473684210527,3.3345643367129973,26.742373661417908,OOS,A,1,3.0,
Foreign_BUY & FinInvest_SELL & Pension_SELL,169,9.136692344181395,55.02958579881657,2.3316062176165886,26.1572460194492,OOS,A,1,3.0,
Foreign_SELL & FinInvest_BUY & Pension_BUY,113,10.680218385185308,58.4070796460177,2.029220779220786,28.371119203352205,OOS,A,1,3.0,
