Strategy,Signals,Avg_Return_10D,Avg_Return_20D,Win_Rate_10D,Win_Rate_20D,Median_Return_20D,Std_Return_20D,Max_Gain_20D,Max_Loss_20D,Period,Track,Combo_Size,Description
개인_BUY & 외국인_BUY & 연기금_SELL,74,2.5653539703787143,7.337678515525471,41.891891891891895,47.2972972972973,-1.5231442518094607,27.781738898874906,111.98538105987316,-34.77366255144033,IS,A,3.0,
개인_BUY & 외국인_SELL & 연기금_BUY,398,2.0053276152373622,2.967944366493255,45.7286432160804,47.23618090452261,-1.2192723697148464,21.73671391392613,145.05828687278256,-38.36477987421384,IS,A,3.0,
개인_BUY & 외국인_SELL & 연기금_SELL,512,2.9825275150475905,4.403431724100958,49.0234375,47.65625,-0.9080061250723415,27.60561954532026,232.2259136212625,-46.889952153110045,IS,A,3.0,
개인_SELL & 외국인_BUY & 연기금_BUY,1696,1.2669060952195434,1.73245569490903,46.93396226415094,45.28301886792453,-1.7257925739625422,19.48646439043274,201.72413793103448,-42.48520710059172,IS,A,3.0,
개인_SELL & 외국인_BUY & 연기금_SELL,970,1.404795698938237,3.069338158926274,46.08247422680412,43.71134020618557,-1.9687856656567804,26.59920971414063,313.9499620924944,-58.09954751131221,IS,A,3.0,
개인_SELL & 외국인_SELL & 연기금_BUY,184,1.1219947926764322,1.4635993964928005,48.369565217391305,43.47826086956522,-2.1363375770095283,18.6527200360039,95.07079181961196,-35.604606525911706,IS,A,3.0,
개인_SELL & 외국인_SELL & 연기금_SELL,22,-2.7130138563919015,-3.4487549680381204,27.27272727272727,40.909090909090914,-2.0319370516084234,13.203312218485443,19.65471447543161,-31.789473684210524,IS,A,3.0,
개인_BUY & 금융투자_BUY & 연기금_BUY,178,0.28463709837378304,2.069209954815595,42.69662921348314,43.82022471910113,-3.3191477525589654,21.02744905122214,88.52459016393443,-38.36477987421384,IS,A,3.0,
개인_BUY & 금융투자_BUY & 연기금_SELL,221,2.447608852505442,4.18210160532513,48.86877828054298,48.41628959276018,-1.4312719416689212,25.298899334983908,140.49513704686115,-46.889952153110045,IS,A,3.0,
개인_BUY & 금융투자_SELL & 연기금_BUY,243,2.969381716184346,3.5277982413729787,48.971193415637856,50.617283950617285,0.3472222222222321,22.40615833424043,145.05828687278256,-45.03538928210313,IS,A,3.0,
개인_BUY & 금융투자_SELL & 연기금_SELL,365,3.2218321235854477,5.132330953730744,47.671232876712324,47.12328767123288,-1.0489510489510523,28.96501979642581,232.2259136212625,-43.93024815560027,IS,A,3.0,
개인_SELL & 금융투자_BUY & 연기금_BUY,1249,0.9137855867315038,1.7544070671467098,46.83746997598078,44.91593274619696,-1.6949152542372836,19.21373234691831,201.72413793103448,-42.34034876728804,IS,A,3.0,
개인_SELL & 금융투자_BUY & 연기금_SELL,577,1.0807690514126438,2.227346776424519,45.233968804159446,42.46100519930676,-2.1844660194174748,26.904293901999132,313.9499620924944,-39.93549332942384,IS,A,3.0,
개인_SELL & 금융투자_SELL & 연기금_BUY,631,1.9236158185691936,1.61060653035523,47.543581616481774,45.48335974643423,-1.7980636237897696,19.7838177832632,142.58402444347445,-42.48520710059172,IS,A,3.0,
개인_SELL & 금융투자_SELL & 연기금_SELL,415,1.6370163384683674,3.8944730478667466,46.265060240963855,45.30120481927711,-1.3812154696132617,25.658308916148442,168.67567567567568,-58.09954751131221,IS,A,3.0,
외국인_BUY & 금융투자_BUY & 연기금_BUY,1111,0.8697383576218707,1.7871517130747483,46.714671467146715,45.184518451845186,-1.6813450760608473,19.232504756330236,201.72413793103448,-42.34034876728804,IS,A,3.0,
