Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2022-11-15,4675,5470,4655,5110,2443019,071970,HD현대마린엔진,KOSPI,8.112104224620195,4.224104135297705,-3.326810176125244,-9.393346379647749,-8.512720156555773,-8.21917808219178
2022-12-16,7480,7480,6460,6980,17899617,071970,HD현대마린엔진,KOSPI,17.21610575185569,7.40742499644023,-6.876790830945559,-7.736389684813753,-6.446991404011461,-1.5759312320916905
2023-04-25,5760,6780,5650,5850,4280713,071970,HD현대마린엔진,KOSPI,9.039126670178247,6.3313297308903875,-4.615384615384616,-7.863247863247863,-9.230769230769232,-7.863247863247863
2023-08-01,10430,11660,9830,11660,10222255,071970,HD현대마린엔진,KOSPI,7.669083908315845,7.106614302816527,8.49056603773585,7.632933104631218,2.3156089193825045,12.006861063464838
2023-08-02,13100,14350,12100,12650,12101928,071970,HD현대마린엔진,KOSPI,6.308551790132594,5.62983940280762,-7.82608695652174,-8.300395256916996,-1.5810276679841897,-4.2687747035573125
2024-04-24,16000,17460,15280,16500,3746062,071970,HD현대마린엔진,KOSPI,7.007088433660142,6.92508264153602,0.5454545454545455,1.2121212121212122,-2.727272727272727,-2.4242424242424243
2024-06-14,15970,18000,15800,16360,1598490,071970,HD현대마린엔진,KOSPI,6.04300522022894,2.3327488100385745,-2.2004889975550124,1.8337408312958436,3.728606356968215,13.141809290953546
2024-06-25,18000,19790,17000,17170,1953872,071970,HD현대마린엔진,KOSPI,5.205975220439135,2.7451898197970017,-1.1648223645894,7.804309842748982,10.949330227140361,0.9318578916715201
2024-07-16,17730,21400,17580,19100,4903961,071970,HD현대마린엔진,KOSPI,6.004777166383854,5.366749971976136,12.56544502617801,1.93717277486911,17.277486910994764,23.82198952879581
2024-07-17,19270,22900,19250,21500,8464086,071970,HD현대마린엔진,KOSPI,6.93204028290201,5.980718653425634,-3.7209302325581395,-1.3953488372093024,4.4186046511627906,7.209302325581396
2023-02-23,2475,2895,2475,2810,17042955,088350,한화생명,KOSPI,5.657050021359628,6.429407460457273,0.8896797153024912,5.871886120996441,-4.092526690391459,-5.5160142348754455
2024-01-30,2805,3100,2795,3010,15641527,088350,한화생명,KOSPI,7.491487167913816,7.152694934388671,0.8305647840531563,17.60797342192691,17.774086378737543,11.794019933554816
2024-02-01,3020,3585,2995,3355,42923987,088350,한화생명,KOSPI,10.009162826572675,7.1354079653561095,5.514157973174367,5.663189269746647,8.64381520119225,4.470938897168406
2024-02-06,36200,36650,32600,32650,1580239,204320,HL만도,KOSPI,5.802523716064501,6.044761496239704,0.45941807044410415,4.594180704441041,1.9908116385911179,7.044410413476264
2024-04-29,33550,38350,33500,38350,3340279,204320,HL만도,KOSPI,10.466966318611657,6.6233573004069255,2.737940026075619,1.8252933507170794,3.780964797913951,-2.4771838331160363
2023-11-30,31000,39040,30820,38560,7144020,457190,이수스페셜티케미컬,KOSPI,6.878052584605875,7.0349924774849475,0.5705394190871369,-7.468879668049793,-10.425311203319502,-9.232365145228217
