volume_ratio_threshold,z_score_threshold,signal_count,avg_return_1d,win_rate_1d,median_return_1d,sharpe_1d,max_return_1d,max_loss_1d,avg_return_3d,win_rate_3d,median_return_3d,sharpe_3d,avg_return_5d,win_rate_5d,median_return_5d,sharpe_5d,avg_return_10d,win_rate_10d,median_return_10d,sharpe_10d
7.0,1.5,846,0.249635921577185,48.93617021276596,0.0,0.04120955630497203,29.98565279770445,-29.895366218236173,0.5203040512691349,47.03791469194313,-0.3717793234030937,0.05332850627545999,0.9724667914811842,47.324613555291315,-0.6437768240343348,0.07508797073684108,1.3887883526087488,44.69606674612634,-1.1050537792839252,0.08661289608896731
7.0,2.0,836,0.24995393749145586,48.92344497607656,0.0,0.04110649412471951,29.98565279770445,-29.895366218236173,0.5589658480662023,47.24220623501199,-0.33798794376296803,0.05709063319728201,0.9743728168955834,47.292418772563174,-0.6480881399870383,0.07497977022311281,1.4097836650693438,44.87334137515078,-1.094890510948905,0.08786906366590459
7.0,2.5,825,0.2736074610264986,48.848484848484844,0.0,0.045169869404769206,29.98565279770445,-29.895366218236173,0.5917751635674073,47.38760631834751,-0.3371204658391891,0.060425383315836946,0.9856421901098534,47.19512195121951,-0.6564908785041574,0.07576357694247604,1.3873893145035772,44.62102689486552,-1.1452968284087828,0.08662664061842132
7.0,3.0,811,0.283995518959837,49.198520345252774,0.0,0.04677649247612233,29.98565279770445,-29.895366218236173,0.5422664010758418,47.46600741656366,-0.3348214285714285,0.0555721651819501,0.963312504482419,47.51861042183623,-0.5533202128435017,0.07401588658521462,1.3745696258348086,44.527363184079604,-1.1452968284087828,0.08553045829206908
7.5,1.5,710,0.24640408371288888,49.15492957746479,0.0,0.040434769537076004,29.98310810810811,-29.895366218236173,0.559763918724585,47.31638418079096,-0.33798794376296803,0.0563650730722114,0.9911299553702861,47.45042492917847,-0.5533202128435017,0.0742874027054601,1.297018028190114,44.9645390070922,-1.1385199240986716,0.07835258612012443
7.5,2.0,704,0.23900623231649296,49.00568181818182,0.0,0.03910616588657983,29.98310810810811,-29.895366218236173,0.569019914499012,47.43589743589743,-0.3359709472053088,0.05709458834294724,0.9689004794696238,47.285714285714285,-0.6006988209391004,0.07239470631357849,1.2782116050761623,45.06437768240343,-1.1385199240986716,0.07719202950392734
7.5,2.5,696,0.23502380378282142,48.85057471264368,0.0,0.03834300451245277,29.98310810810811,-29.895366218236173,0.5675196394625369,47.55043227665706,-0.3359709472053088,0.05670733506564489,0.9880628162455923,47.25433526011561,-0.6006988209391004,0.07348990368746028,1.2563837559013442,44.862518089725036,-1.1650485436893203,0.07613262585778928
7.5,3.0,687,0.2491497998992408,49.19941775836973,0.0,0.04045625006028803,29.98310810810811,-29.895366218236173,0.5274794358185059,47.59124087591241,-0.3348214285714285,0.052797778984165704,0.9636086788397212,47.43777452415813,-0.5490196078431373,0.07151461647402904,1.2617554439561958,44.72140762463343,-1.1870147727082183,0.07615709189703453
8.0,1.5,609,0.26133452125511236,49.096880131362894,0.0,0.04217130569278118,29.98310810810811,-29.895366218236173,0.4042026089783302,47.86184210526316,-0.3205424564647865,0.04142875520627186,0.820329655447386,48.18481848184818,-0.3972302444332831,0.06785236349428743,1.3768751877940435,45.6198347107438,-0.7955314827352742,0.08392230671408944
8.0,2.0,604,0.2574256282840259,49.00662251655629,0.0,0.04142419755026713,29.98310810810811,-29.895366218236173,0.410569746373373,47.92703150912106,-0.3174603174603174,0.04194237313220568,0.7891707214999157,47.920133111480865,-0.4334365325077399,0.0651113684287872,1.3449789184449366,45.666666666666664,-0.8777657413676371,0.08201212888717505
8.0,2.5,599,0.2747348013157952,49.08180300500835,0.0,0.04408258173210927,29.98310810810811,-29.895366218236173,0.4220267653910779,47.9933110367893,-0.2806813782423538,0.04294763149926906,0.8129679980007029,47.81879194630873,-0.4487368277387887,0.06686135093984542,1.284912436490691,45.54621848739496,-1.0084033613445378,0.07877129101661685
8.0,3.0,593,0.29140511106375,49.4097807757167,0.0,0.04655147874247408,29.98310810810811,-29.895366218236173,0.36723836524029324,47.97297297297297,-0.2806813782423538,0.03755476623786191,0.7628707624205984,47.79661016949153,-0.4487368277387887,0.06280021821182406,1.24869065367716,45.331069609507644,-1.0443864229765014,0.07629893208813239
